id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre
5Na9Z0wC0loIPBZdw8OmQm,Animals,2,230160,0,['Maroon 5'],['04gDigrS5kc9YWfZHwBETP'],2021,0.458,0.738,4,-6.427,0,0.0511,0.00017,0.0,0.656,0.349,189.97,4,Rock
5Yp9up2QPm9fb4IUFooEhB,Beautiful Goodbye,0,255387,0,['Maroon 5'],['04gDigrS5kc9YWfZHwBETP'],2021,0.662,0.578,3,-2.637,1,0.0343,0.002,2.44e-06,0.104,0.404,168.039,4,Pop
5h8b2BPaL59xZ2i4ID2C4M,One More Night,7,219867,0,['Maroon 5'],['04gDigrS5kc9YWfZHwBETP'],2021,0.718,0.821,5,-3.418,0,0.0314,0.057,0.0,0.0862,0.666,93.003,4,Soul
6v0ohaCpPoT3sqmkxqUkYW,Won't Go Home Without You,6,231173,0,['Maroon 5'],['04gDigrS5kc9YWfZHwBETP'],2021,0.738,0.617,3,-3.759,1,0.0318,0.0144,0.0,0.102,0.431,110.022,4,Pop
7Jkg9JDSVsjE7FlUkm4poz,She Will Be Loved,2,257987,0,['Maroon 5'],['04gDigrS5kc9YWfZHwBETP'],2021,0.7,0.719,0,-5.366,0,0.0299,0.0544,0.0,0.146,0.554,102.049,4,Pop
7sUuJh5Dra9ge1RfyHGi4h,Memories,1,189486,0,['Maroon 5'],['04gDigrS5kc9YWfZHwBETP'],2021,0.764,0.32,11,-7.208,1,0.0546,0.836,0.0,0.0822,0.576,91.019,4,Soul
2frhSJEsgxmpLZMD3NlnFu,Jessica,2,286533,0,['Bloodrock'],['522yoVmanZmrgK5qy3GyRK'],2021,0.452,0.82,0,-8.773,1,0.0472,0.00927,0.0143,0.0895,0.371,143.185,4,Rock
0bqwsQAkGaO0jzfzgI5iLV,Anxious,69,176773,0,['Dennis Lloyd'],['3EOEK57CV77D4ovYVcmiyt'],2021,0.669,0.745,6,-7.679,0,0.118,0.051,3.98e-06,0.107,0.439,100.963,4,Soul
3BfRjAclEFihCqLguT8Ch7,End of the Road,55,159986,0,['Noga Erez'],['5VwCIS8jdx9ZHjApLFNrTZ'],2021,0.899,0.557,7,-7.966,1,0.245,0.0786,0.0,0.0777,0.464,99.975,4,Ska
0XJ3mpRAhvQfOULQZyqTUo,Forever,44,220972,0,['שילה בן סעדון'],['25121FSeQqqD3El2C3t9L1'],2021,0.471,0.436,11,-7.493,1,0.0546,0.688,0.0,0.0813,0.421,143.213,4,Soul
31JsYFuBH4rGqW4YAObyMl,Story,49,191020,0,"['Noga Erez', 'ROUSSO']","['5VwCIS8jdx9ZHjApLFNrTZ', '0B0XXiGxIzdpQAvf3otjUb']",2021,0.837,0.563,4,-8.101,0,0.177,0.303,0.0,0.758,0.608,118.002,4,Soul
76TRCnbYfo9GU5DPsZ1uI9,Set Me Free,56,179439,0,['Eden Alene'],['3E7T8t0FwjEVxg9jufWZQG'],2021,0.752,0.664,1,-7.392,0,0.0775,0.28,0.0,0.102,0.468,107.02,4,Soul
4bXZxEj3fE31YHdWKzWk21,Knockout,47,165483,0,['Noga Erez'],['5VwCIS8jdx9ZHjApLFNrTZ'],2021,0.824,0.632,2,-8.875,1,0.264,0.13,0.0342,0.1,0.621,171.983,4,Rap
0XiSlZZ2Zfw17cY4MmakiD,Candyman,46,139159,0,['Noga Erez'],['5VwCIS8jdx9ZHjApLFNrTZ'],2021,0.645,0.885,8,-6.853,0,0.0726,0.187,0.00141,0.622,0.462,97.051,4,Rap
1LP0jocuNSOShgFVuzG3Ew,Never Let You Go,9,264400,0,['Justin Bieber'],['1uNFoZAHBGtllmzznpCI3s'],2021,0.66,0.802,0,-4.856,1,0.0373,0.00207,0.0,0.4,0.617,103.16,4,Soul
1HUONmrq0euHYmiIrmYqPq,Hope,35,110886,1,['XXXTENTACION'],['15UsOTVnJzReFVN1VCnxy4'],2021,0.598,0.457,9,-6.081,0,0.0602,0.661,0.000331,0.146,0.225,146.052,4,Soundtrack
5948msNA9d8OCBdb63VzKN,La Calle Moderna,1,212440,0,['Daddy Yankee'],['4VMYDCV2IEDYJArk749S6m'],2021,0.821,0.616,5,-5.392,0,0.263,0.0326,0.0,0.119,0.425,91.074,4,Reggaeton
6MAb63ztymnqVYVeR0EyRl,"Lo Que Paso, Paso - Live",4,217547,0,['Daddy Yankee'],['4VMYDCV2IEDYJArk749S6m'],2021,0.74,0.91,8,-4.0,0,0.039,0.0375,0.0,0.323,0.684,96.991,4,Reggaeton
76yLLKgvdzeovu7O38pxbc,Nada Ha Cambiao’,3,190000,0,"['Daddy Yankee', 'Divino']","['4VMYDCV2IEDYJArk749S6m', '0akwFJC217vsXvFRi0Ns8v']",2021,0.735,0.906,10,-3.658,0,0.11,0.0342,0.0,0.292,0.71,92.023,4,Reggaeton
5XbXl6s9ATJMM0B0FdKlsg,Virgins,1,298728,0,['Tom Vigebo'],['1oNy9ZamgjwnqNI4u7x9A1'],2021,0.657,0.921,6,-3.558,0,0.0517,0.0668,0.225,0.177,0.782,129.946,4,Blues
40QsjdiADdqLCyKSKDqAlM,Elephant,1,308000,0,['Tom Vigebo'],['1oNy9ZamgjwnqNI4u7x9A1'],2021,0.847,0.57,6,-8.694,0,0.0818,0.705,0.00421,0.103,0.663,109.983,4,Rock
12RFkxrBTS6MnQcZTwdgYY,Violence,0,321500,0,['Tom Vigebo'],['1oNy9ZamgjwnqNI4u7x9A1'],2021,0.54,0.17,7,-16.951,1,0.04,0.743,0.000138,0.118,0.279,112.47,4,World
17yOPX5shexJMBy7kSXyAi,O Come O Come Emmanuel,0,199120,0,['Christmas 2018'],['0kfjNNaDWCty5QvomdYqPn'],2021,0.942,0.205,6,-15.029,0,0.144,0.618,0.939,0.0797,0.793,121.028,4,World
6a88fc0zSrVWGPdoj445nJ,Keep Moving,72,240880,0,['Jungle'],['59oA5WbbQvomJz2BuRG071'],2021,0.724,0.603,10,-6.261,0,0.0317,0.183,0.000469,0.0948,0.569,111.493,4,Blues
